3982192;	31.331
3992193;	40.260
4002192;	49.928
4012193;	59.134
4029299;	17.625
4032192;	21.000
4042192;	30.041
4052193;	39.088
4062192;	48.124
4072193;	56.693
4082193;	64.059
4092193;	71.979
4127707;	17.800
4127707;	17.850
4127707;	17.850
4132192;	22.611
4142192;	31.635
4152193;	40.019
4162193;	49.114
4172192;	57.987
4192773;	17.956
4192773;	17.973
4202192;	27.633
4212192;	37.246
4222192;	50.585
4232192;	60.081
4242192;	68.807
4253446;	18.092
4262192;	28.355
4272192;	38.613
4282193;	48.368
4292216;	57.194
4310615;	18.321
4312192;	20.721
4322192;	30.154
4332192;	39.570
4342192;	48.936
4352454;	58.511
4362192;	67.776
4376216;	18.437
4382193;	24.711
4392192;	35.710
4402193;	44.493
4412192;	54.891
4428690;	18.639
4432192;	25.752
4442192;	37.589
4452193;	47.665
4462933;	18.596
4472192;	34.672
4487492;	17.895
4492192;	24.513
4502193;	36.495
4512192;	47.674
4524515;	16.378
4532192;	26.586
4542193;	37.005
4552192;	47.904
4564999;	16.441
4572192;	29.111
4582193;	38.646
4592192;	48.684
4605097;	16.594
4612192;	24.580
4622193;	34.267
4632193;	43.294
4642193;	53.104
4652193;	62.194
4690530;	16.770
4690530;	16.770
4690530;	16.770
4692748;	18.464
4702192;	27.520
4712195;	36.720
4722193;	46.218
4732564;	55.027
4742193;	63.516
4765440;	17.014
4765440;	17.031
4772192;	23.193
4782193;	32.010
4792193;	41.164
4802193;	50.441
4812192;	58.047
4822193;	65.721
4832193;	74.603
4845213;	17.144
4852193;	24.464
4862192;	33.695
4872192;	43.271
4882193;	52.464
4892193;	60.572
4917898;	17.417
4917899;	17.476
4922192;	21.869
4932192;	31.800
4942193;	41.471
4952192;	50.885
4962192;	60.214
4972193;	68.347
4991010;	17.543
4992192;	19.973
5002192;	29.455
5012193;	38.750
5022192;	47.725
5032192;	56.877
5042193;	64.993
5059791;	17.744
5062192;	21.518
5072192;	31.085
5082193;	40.776
5092192;	50.187
5102193;	58.364
5112193;	66.651
5126666;	17.964
5132192;	26.097
5142193;	36.084
5152192;	45.353
5162192;	53.446
5172192;	62.061
5201220;	18.216
5201220;	18.286
5202193;	19.491
5212192;	28.476
5222193;	38.690
5232192;	47.576
5242192;	57.772
5258251;	18.335
5262192;	26.881
5272192;	39.616
5285458;	18.552
5292192;	31.153
5323201;	18.772
5323201;	18.898
5323201;	18.898
5332192;	33.342
5342192;	42.245
5352193;	50.131
5377955;	18.779
5377955;	18.815
5382192;	23.202
5392193;	32.226
5402192;	41.491
5412192;	50.703
5422204;	57.977
5432197;	66.396
5442192;	75.195
5462716;	18.924
5462716;	18.942
5472192;	27.943
5482193;	36.554
